time,x_actual_x,x_actual_y,x_actual_z,x_desired_x,x_desired_y,x_desired_z,x_d_actual_x,x_d_actual_y,x_d_actual_z,x_d_desired_x,x_d_desired_y,x_d_desired_z,disturbance_x,disturbance_y,disturbance_z,force,force_error,tracking_error,stiffness,dotproduct
2.181793,-0.4218439,1.277999,-0.2482873,-0.4335929,1.324168,-0.3052102,-0.07982653,0.1065262,-0.02144973,-0.05222607,0.1276443,-0.01584536,0,0,0,9.834751,-0.1652489,0.00112205,255,0.390206
2.200935,-0.4239237,1.280496,-0.2487099,-0.4343579,1.326739,-0.3055784,-0.1083017,0.1438971,-0.02807934,-0.04885825,0.1505809,-0.02073927,0,0,0,9.406853,-0.5931473,0.0006520115,255,0.4341888
2.222672,-0.4262573,1.283284,-0.2491744,-0.4351763,1.329771,-0.3059901,-0.1103219,0.1324426,-0.02241628,-0.04057852,0.1363757,-0.01952967,0,0,0,8.97295,-1.02705,0.0003918421,255,0.5076767
2.246094,-0.4294045,1.286743,-0.2496182,-0.4362484,1.333472,-0.3063354,-0.1072479,0.1281228,-0.02134467,-0.03761204,0.1393759,-0.01892312,0,0,0,8.501056,-1.498944,0.0005747412,255,0.5994166
2.266373,-0.4328003,1.290346,-0.2500228,-0.4374751,1.337054,-0.3066787,-0.134848,0.1482102,-0.01901663,-0.04593515,0.1585588,-0.01479752,0,0,0,8.202974,-1.797026,0.0009344062,255,0.669601
2.290314,-0.4350069,1.292566,-0.2502785,-0.4382869,1.338885,-0.3068957,-0.1639416,0.1739296,-0.01953269,-0.05922393,0.1729339,-0.01656883,0,0,0,7.486534,-2.513466,0.001330964,255,0.8053046
2.312294,-0.4394634,1.296846,-0.2510746,-0.440381,1.342698,-0.3074139,-0.09338801,0.09395685,-0.01082196,-0.03435659,0.0774893,-0.009184795,0,0,0,6.781649,-3.218351,0.001576847,255,0.9187733
2.333817,-0.4446718,1.301371,-0.252239,-0.442475,1.345747,-0.3076994,-0.2038119,0.1957486,-0.03640745,-0.09576991,0.1743665,-0.02370192,0,0,0,5.878424,-4.121576,0.002340346,255,0.9188595
2.356079,-0.4499013,1.305535,-0.2535348,-0.4447092,1.348602,-0.3078886,-0.2384436,0.2071581,-0.05330947,-0.09586617,0.1396263,-0.01307086,0,0,0,5.131545,-4.868455,0.003447954,255,0.8729203
2.378525,-0.4546529,1.309104,-0.2547113,-0.4467305,1.350923,-0.3080182,-0.237838,0.1893704,-0.0589326,-0.1016099,0.1298035,-0.00860134,0,0,0,3.993852,-6.006148,0.004703387,255,0.6813375
