time,x_actual_x,x_actual_y,x_actual_z,x_desired_x,x_desired_y,x_desired_z,x_d_actual_x,x_d_actual_y,x_d_actual_z,x_d_desired_x,x_d_desired_y,x_d_desired_z,disturbance_x,disturbance_y,disturbance_z,force,force_error,tracking_errorstiffness,dotproduct
2.535202,-0.9508049,1.126498,-0.1069019,-0.9772855,1.174097,-0.09537566,-0.4013635,0.0402969,-0.04742362,-0.3867954,0.004362091,-0.1242927,0,0,0,0,-10,0.2114611,255,0
2.55883,-0.9627525,1.127266,-0.108347,-0.9876442,1.173893,-0.09866476,-0.3682326,0.03058282,-0.04383771,-0.3426489,-0.0009844357,-0.108001,0,0,0,0,-10,0.2089815,255,0
2.577965,-0.9735077,1.127735,-0.1096922,-0.9974435,1.173521,-0.1018649,-0.5168291,0.03322504,-0.06251289,-0.4480971,-0.008823226,-0.1422803,0,0,0,0,-10,0.2060511,255,0
2.601501,-0.983736,1.127966,-0.1110591,-1.006813,1.173077,-0.1049842,-0.5634336,0.02458658,-0.07046863,-0.513355,-0.01952188,-0.167644,0,0,0,0,-10,0.2036042,255,0
2.623314,-0.9940048,1.127996,-0.1125449,-1.01635,1.172588,-0.1081386,-0.4173874,0.009422673,-0.05577959,-0.3823236,-0.01809134,-0.1272912,0,0,0,0,-10,0.2014004,255,0
2.651962,-1.001614,1.127864,-0.1137295,-1.023007,1.172198,-0.1103625,-0.4215325,0.001213592,-0.0609928,-0.3915205,-0.02008789,-0.1294849,0,0,0,0,-10,0.1992804,255,0
2.665932,-1.010699,1.127512,-0.1153165,-1.032388,1.17152,-0.1136617,-0.295431,-0.005100341,-0.045991,-0.2584327,-0.0151344,-0.08634479,0,0,0,0,-10,0.1977604,255,0
2.687416,-1.017058,1.127145,-0.1165796,-1.038657,1.170948,-0.1160153,-0.6571295,-0.02549841,-0.1147946,-0.6786268,-0.04906526,-0.2386477,0,0,0,0,-10,0.1959223,255,0
2.711304,-1.023018,1.126652,-0.1179427,-1.045384,1.170201,-0.1186904,-0.3003604,-0.01734234,-0.05966216,-0.296098,-0.02701577,-0.1111684,0,0,0,0,-10,0.1945784,255,0
2.733353,-1.030876,1.125819,-0.1200549,-1.052859,1.169204,-0.1218715,-0.2485533,-0.02053671,-0.05684507,-0.2805441,-0.03115057,-0.1115574,0,0,0,0,-10,0.1932098,255,0
